ID,SbsReleasedProductId,ServicePoint,Price,PriceUnit,UnitId
371,IIN023207,D606,1.11,1,kg
372,IIN023207,D607,1.1,1,kg
373,IIN023207,D612,1.09,1,kg
374,IIN023207,D615,1.08,1,kg
375,IIN023207,D616,1.4,1,kg
376,IIN023207,D617,1.4,1,kg
377,IIN023208,D607,0.67,1,kg
378,IIN023208,D617,0.69,1,kg
379,IIN023209,D612,2.82,1,kg
380,IIN023212,D602,17.2,1,kg
381,IIN023212,D603,17.17,1,kg
382,IIN023212,D604,17.21,1,kg
383,IIN023212,D606,16.99,1,kg
384,IIN023212,D607,17.16,1,kg
385,IIN023212,D612,17.19,1,kg
386,IIN023212,D615,17.11,1,kg
387,IIN023212,D616,11.97,1,kg
388,IIN023212,D617,17.19,1,kg
389,IIN023214,D604,6.35,1,l
390,IIN023217,D603,1.68,1,kg
391,IIN023217,D604,2.06,1,kg
392,IIN023217,D612,2.5,1,kg
393,IIN023217,D615,1.67,1,kg
394,IIN023217,D617,1.63,1,kg
395,IIN023217,D618,1.62,1,kg
396,IIN023221,D603,1.56,1,kg
397,IIN023221,D604,1.56,1,kg
398,IIN023221,D612,1.56,1,kg
399,IIN023221,D615,1.65,1,kg
400,IIN023222,D602,0.56,1,kg
401,IIN023222,D603,1,1,kg
402,IIN023222,D604,0.98,1,kg
403,IIN023222,D606,0.97,1,kg
404,IIN023222,D607,0.87,1,kg
405,IIN023222,D612,0.99,1,kg
406,IIN023222,D615,0.94,1,kg
407,IIN023222,D616,1.05,1,kg
408,IIN023222,D617,1.3,1,kg
409,IIN023234,D603,11.36,1,kg
410,IIN023234,D604,9.09,1,kg
411,IIN023234,D612,11.37,1,kg
412,IIN023234,D615,9.69,1,kg
413,IIN023234,D616,13.1,1,kg
414,IIN023235,D604,6.18,1,l
415,IIN023235,D607,5.73,1,l
416,IIN023235,D612,6.59,1,l
417,IIN023235,D615,5.78,1,l
418,IIN023235,D616,6.86,1,l
419,IIN023235,D618,6.59,1,l
420,IIN023236,D603,4.96,1,l
421,IIN023237,D600,2.75,1,l
422,IIN023237,D602,2.75,1,l
423,IIN023237,D603,2.75,1,l
424,IIN023237,D604,2.75,1,l
425,IIN023237,D606,2.75,1,l
426,IIN023237,D607,2.75,1,l
427,IIN023237,D612,2.75,1,l
428,IIN023237,D615,2.75,1,l
429,IIN023237,D616,2.75,1,l
430,IIN023237,D617,2.75,1,l
431,IIN023237,D618,2.75,1,l
432,IIN023240,D602,4.32,1,l
433,IIN023240,D603,4.3,1,l
434,IIN023242,D602,3.57,1,l
435,IIN023242,D603,3.54,1,l
436,IIN023242,D604,3.56,1,l
437,IIN023242,D606,3.54,1,l
438,IIN023242,D607,3.54,1,l
439,IIN023242,D612,3.54,1,l
440,IIN023242,D615,3.82,1,l
441,IIN023242,D617,3.62,1,l
442,IIN023420,D603,156.32,1,ea
443,IIN023420,D604,155.37,1,ea
444,IIN023420,D606,151.23,1,ea
445,IIN023420,D607,156.32,1,ea
446,IIN023421,D603,155.9,1,ea
447,IIN023421,D604,157.41,1,ea
448,IIN023421,D606,151.66,1,ea
449,IIN023421,D607,155.89,1,ea
450,IIN023421,D615,156.32,1,ea
451,IIN023422,D606,89.58,1,ea
452,IIN023422,D607,94.94,1,ea
453,IIN023422,D615,89.58,1,ea
454,IIN023423,D602,475.38,1,ea
455,IIN023423,D603,455.63,1,ea
456,IIN023423,D604,445.87,1,ea
457,IIN023423,D606,447.15,1,ea
458,IIN023423,D607,475.38,1,ea
459,IIN023423,D618,475.38,1,ea
460,IIN023424,D602,517,1,ea
461,IIN023424,D604,427.63,1,ea
462,IIN023424,D606,485.72,1,ea
463,IIN023424,D607,517,1,ea
464,IIN023425,D603,338.55,1,ea
465,IIN023425,D604,340.76,1,ea
466,IIN023427,D603,149.55,1,ea
467,IIN023427,D604,150,1,ea
468,IIN023427,D606,150.03,1,ea
469,IIN023427,D607,150,1,ea
470,IIN023428,D606,498.97,1,ea
471,IIN023428,D607,433.32,1,ea
472,IIN023429,D606,425.05,1,ea
473,IIN023430,D604,23,1,ea
474,IIN023431,D604,36.42,1,ea
475,IIN023431,D615,36.42,1,ea
476,IIN023432,D604,24.72,1,ea
477,IIN023432,D615,23.5,1,ea
478,IIN023433,D600,22.66,1,ea
479,IIN023433,D602,25.06,1,ea
480,IIN023433,D603,24.34,1,ea
481,IIN023433,D604,26.13,1,ea
482,IIN023433,D606,24.22,1,ea
483,IIN023433,D607,24.41,1,ea
484,IIN023433,D615,22.66,1,ea
485,IIN023433,D616,24.97,1,ea
486,IIN023433,D617,24.47,1,ea
487,IIN023433,D618,24.44,1,ea
488,IIN023434,D600,24.67,1,ea
489,IIN023435,D600,24.35,1,ea
490,IIN023435,D602,24.35,1,ea
491,IIN023435,D603,24.35,1,ea
492,IIN023435,D604,23.41,1,ea
493,IIN023435,D606,24.35,1,ea
494,IIN023435,D607,24.35,1,ea
495,IIN023435,D615,27.6,1,ea
496,IIN023435,D616,23.37,1,ea
497,IIN023435,D617,24.35,1,ea
498,IIN023435,D618,24.35,1,ea
499,IIN023437,D604,42.33,1,ea
500,IIN023437,D615,42.33,1,ea
501,IIN023437,D616,43,1,ea
502,IIN023439,D600,37.19,1,ea
503,IIN023439,D602,37.19,1,ea
504,IIN023439,D603,37.67,1,ea
505,IIN023439,D604,37.26,1,ea
506,IIN023439,D607,37.17,1,ea
507,IIN023439,D615,34.39,1,ea
508,IIN023439,D616,36.86,1,ea
509,IIN023439,D617,37.23,1,ea
510,IIN023440,D606,38.05,1,ea
511,IIN023441,D600,33.15,1,ea
512,IIN023441,D602,33.15,1,ea
513,IIN023441,D603,32.52,1,ea
514,IIN023441,D604,33.16,1,ea
515,IIN023441,D607,32.1,1,ea
516,IIN023441,D615,35.72,1,ea
517,IIN023441,D616,31.85,1,ea
518,IIN023441,D617,33.16,1,ea
519,IIN023442,D606,29.16,1,ea
520,IIN023443,D604,35.33,1,ea
521,IIN023445,D600,63,1,ea
522,IIN023445,D602,63,1,ea
523,IIN023445,D603,63,1,ea
524,IIN023445,D604,63,1,ea
525,IIN023445,D606,63,1,ea
526,IIN023445,D607,63,1,ea
527,IIN023445,D615,65.47,1,ea
528,IIN023445,D616,63,1,ea
529,IIN023445,D617,63.13,1,ea
530,IIN023445,D618,63,1,ea
531,IIN023446,D600,63,1,ea
532,IIN023446,D616,62.92,1,ea
533,IIN023447,D600,63,1,ea
534,IIN023447,D602,63,1,ea
535,IIN023447,D603,63,1,ea
536,IIN023447,D604,63,1,ea
537,IIN023447,D606,63,1,ea
538,IIN023447,D607,63,1,ea
539,IIN023447,D615,62.31,1,ea
540,IIN023447,D616,62.98,1,ea
541,IIN023447,D617,63,1,ea
542,IIN023447,D618,63,1,ea
543,IIN023449,D600,44.78,1,ea
544,IIN023449,D603,41.15,1,ea
545,IIN023449,D604,41.39,1,ea
546,IIN023449,D606,44.49,1,ea
547,IIN023449,D607,44.88,1,ea
548,IIN023449,D615,42.31,1,ea
549,IIN023449,D616,42.1,1,ea
550,IIN023449,D617,43.78,1,ea
551,IIN023449,D618,43.94,1,ea
552,IIN023451,D603,79.26,1,ea
553,IIN023451,D604,76.77,1,ea
554,IIN023451,D615,79.26,1,ea
555,IIN023452,D603,76.79,1,ea
556,IIN023452,D604,74.49,1,ea
557,IIN023453,D600,94.43,1,ea
558,IIN023453,D602,94.6,1,ea
559,IIN023453,D603,93.2,1,ea
560,IIN023453,D604,94.13,1,ea
561,IIN023453,D607,93.2,1,ea
562,IIN023453,D615,129,1,ea
563,IIN023453,D616,93.99,1,ea
564,IIN023453,D617,93.04,1,ea
565,IIN023453,D618,96,1,ea
566,IIN023454,D606,92.56,1,ea
567,IIN023455,D600,90.5,1,ea
568,IIN023455,D602,91,1,ea
569,IIN023455,D603,90.07,1,ea
570,IIN023455,D604,90.47,1,ea
571,IIN023455,D607,91,1,ea
572,IIN023455,D615,90.34,1,ea
573,IIN023455,D616,90.5,1,ea
574,IIN023455,D617,90.14,1,ea
575,IIN023455,D618,89.43,1,ea
576,IIN023456,D606,88.5,1,ea
577,IIN023456,D616,88.5,1,ea
578,IIN023457,D600,74,1,ea
579,IIN023457,D603,52,1,ea
580,IIN023457,D604,64.5,1,ea
581,IIN023457,D606,69.9,1,ea
582,IIN023457,D607,70.7,1,ea
583,IIN023457,D615,64.5,1,ea
584,IIN023457,D616,69.15,1,ea
585,IIN023457,D617,64.63,1,ea
586,IIN023457,D618,72.22,1,ea
587,IIN023458,D604,24,1,ea
588,IIN023458,D615,24,1,ea
589,IIN023459,D604,24,1,ea
590,IIN023459,D615,24,1,ea
591,IIN023460,D600,103.19,1,ea
592,IIN023460,D602,106.4,1,ea
593,IIN023460,D603,107.18,1,ea
594,IIN023460,D604,103.19,1,ea
595,IIN023460,D606,107.86,1,ea
596,IIN023460,D607,103.66,1,ea
597,IIN023460,D615,190.35,1,ea
598,IIN023460,D616,105.37,1,ea
599,IIN023460,D618,215.77,1,ea
600,IIN023462,D600,109,1,ea
601,IIN023462,D602,107.69,1,ea
602,IIN023462,D603,109,1,ea
603,IIN023462,D604,109,1,ea
604,IIN023462,D606,109,1,ea
605,IIN023462,D607,108.38,1,ea
606,IIN023462,D615,105.07,1,ea
607,IIN023462,D616,109,1,ea
608,IIN023462,D617,109,1,ea
609,IIN023462,D618,109,1,ea
610,IIN023463,D616,105.38,1,ea
611,IIN023464,D600,80,1,ea
612,IIN023464,D602,79.79,1,ea
613,IIN023464,D603,79.51,1,ea
614,IIN023464,D604,79.3,1,ea
615,IIN023464,D606,79.94,1,ea
616,IIN023464,D607,79.79,1,ea
617,IIN023464,D615,71.01,1,ea
618,IIN023464,D616,79.98,1,ea
619,IIN023464,D617,80,1,ea
620,IIN023464,D618,80.39,1,ea
621,IIN023465,D602,155.97,1,ea
622,IIN023465,D603,146.24,1,ea
623,IIN023465,D604,115.81,1,ea
624,IIN023465,D606,164.5,1,ea
625,IIN023465,D607,141.5,1,ea
626,IIN023570,D606,180,1,mt
627,IIN032465,D600,10.7,1,kg
628,IIN032465,D602,10.25,1,kg
629,IIN032465,D603,10.27,1,kg
630,IIN032465,D604,10.63,1,kg
631,IIN032465,D606,11.1,1,kg
632,IIN032465,D607,11.3,1,kg
633,IIN032465,D612,10.51,1,kg
634,IIN032465,D615,10.72,1,kg
635,IIN032465,D616,11.31,1,kg
636,IIN032465,D617,11.31,1,kg
637,IIN032465,D618,10.77,1,kg
638,IIN036720,D603,307.15,1,ea
639,IIN036720,D604,306.68,1,ea
640,IIN036720,D607,389.49,1,ea
641,IIN036720,D615,307.16,1,ea
642,IIN036720,D616,418.17,1,ea
643,IIN036720,D617,412.88,1,ea
644,IIN036720,D618,385.19,1,ea
645,IIN036721,D603,134,1,ea
646,IIN036721,D604,134,1,ea
647,IIN036721,D607,388.43,1,ea
648,IIN036721,D615,249.71,1,ea
649,IIN036721,D616,418.46,1,ea
650,IIN036721,D617,392.76,1,ea
651,IIN036721,D618,372.15,1,ea
652,IIN038098,D615,4.99,1,l
653,IIN038276,D604,11.89,1,kg
654,IIN038276,D615,11.67,1,kg
655,IIN038353,D604,70.98,1,ea
656,IIN038354,D604,70.45,1,ea
657,IIN040784,D606,344.83,1,ea
658,IIN040784,D607,349.16,1,ea
659,IIN040784,D617,323.55,1,ea
660,IIN041176,D603,4.52,1,kg
661,IIN041176,D604,4.55,1,kg
662,IIN041176,D606,5.17,1,kg
663,IIN041176,D612,4.5,1,kg
664,IIN041176,D615,5.1,1,kg
665,IIN049712,D606,17.7,1,kg
666,IIN049712,D607,17.65,1,kg
667,IIN049713,D600,13.08,1,kg
668,IIN049713,D602,13.89,1,kg
669,IIN049713,D603,13.74,1,kg
670,IIN049713,D604,13.64,1,kg
671,IIN049713,D607,13.62,1,kg
672,IIN049713,D612,13.76,1,kg
673,IIN049713,D615,13.81,1,kg
674,IIN049713,D616,13.63,1,kg
675,IIN049713,D617,13.23,1,kg
676,IIN049713,D618,13.07,1,kg
677,IIN051265,D615,4.68,1,l
678,IIN052225,D602,2.43,1,kg
679,IIN052225,D603,2.44,1,kg
680,IIN052225,D604,2.42,1,kg
681,IIN052225,D606,2.47,1,kg
682,IIN052225,D607,2.42,1,kg
683,IIN052225,D612,2.42,1,kg
684,IIN052225,D615,2.51,1,kg
685,IIN052225,D616,2.57,1,kg
686,IIN052225,D617,2.42,1,kg
687,IIN052225,D618,2.42,1,kg
688,IIN052295,D606,1600,1,ea
689,IIN053502,D606,353.67,1,ea
690,IIN053502,D607,371.21,1,ea
691,IIN054179,D604,6.67,1,l
692,IIN054769,D602,0.21,1,kg
693,IIN054769,D604,0.22,1,kg
694,IIN054769,D606,0.23,1,kg
695,IIN054769,D607,0.23,1,kg
696,IIN054770,D602,1.01,1,kg
697,IIN054770,D603,0.48,1,kg
698,IIN054770,D604,0.49,1,kg
699,IIN054770,D612,0.49,1,kg
700,IIN054770,D615,0.52,1,kg
701,IIN054770,D616,0.12,1,kg
702,IIN054770,D617,0.5,1,kg
703,IIN054774,D602,6.34,1,l
704,IIN054774,D603,6.3,1,l
705,IIN054774,D604,4.84,1,l
706,IIN054774,D607,6.34,1,l
707,IIN054774,D612,4.86,1,l
708,IIN054774,D615,4.93,1,l
709,IIN054774,D616,4.98,1,l
710,IIN054775,D616,0.13,1,kg
711,IIN054776,D602,1.54,1,kg
712,IIN054776,D603,1.52,1,kg
713,IIN054776,D604,1.48,1,kg
714,IIN054776,D606,1.54,1,kg
715,IIN054776,D612,1.54,1,kg
716,IIN054776,D615,1.54,1,kg
717,IIN054776,D616,1.69,1,kg
718,IIN054776,D617,1.54,1,kg
719,IIN054777,D607,2.4,1,kg
720,IIN054779,D604,6.38,1,kg
721,IIN054779,D612,6.39,1,kg
722,IIN054783,D602,1,1,mt
723,IIN054783,D603,1,1,mt
724,IIN054783,D604,1,1,mt
725,IIN054783,D606,1,1,mt
726,IIN054783,D616,1,1,mt
727,IIN054813,D603,7.26,1,kg
728,IIN054813,D604,7.26,1,kg
729,IIN054813,D615,7.26,1,kg
730,IIN054813,D617,7.26,1,kg
731,IIN054828,D602,1,1,mt
732,IIN054828,D603,1,1,mt
733,IIN054828,D604,1,1,mt
734,IIN054828,D612,1,1,mt
735,IIN054834,D604,6.34,1,kg
